日期,天气,气温,风向
2019-02-23,晴转多云,12℃～-1℃,北风 <3级
2019-02-24,多云,13℃～1℃,北风 <3级
2019-02-25,多云转晴,13℃～1℃,北风转东风 <3级
2019-02-26,阴,8℃～3℃,东北风转东风 3-4级转3-4级
2019-02-27,阴转多云,7℃～1℃,东北风转南风 3-4级转3-4级
2019-02-28,阴转多云,12℃～2℃,西北风转南风 3-4级转3-4级
2019-03-01,多云转阴,13℃～4℃,东南风转东风 3-4级转3-4级
2019-03-02,阴转小雨,11℃～4℃,北风 3-4级转3-4级
2019-03-03,阴转晴,10℃～0℃,东北风转西风 3-4级转3-4级
2019-03-04,多云转晴,15℃～5℃,西南风转南风 3-4级转3-4级
2019-03-05,多云转晴,14℃～3℃,南风 3-4级
2019-03-06,晴,15℃～0℃,西北风转北风 3-4级
2019-03-07,晴,11℃～0℃,东北风转南风 3-4级转3-4级
2019-03-08,阴转多云,13℃～4℃,东南风转南风 3-4级转3-4级
2019-03-09,多云,14℃～3℃,东南风转北风 <3级
2019-03-10,雾转阴,14℃～5℃,西南风转南风 3-4级
2019-03-11,多云转晴,17℃～4℃,西北风转西风 4-5级转4-5级
2019-03-12,晴,13℃～0℃,东北风转北风 4-5级转4-5级
2019-03-13,晴,16℃～3℃,西风转南风 3-4级
2019-03-14,晴,19℃～5℃,西风转北风 3-4级
2019-03-15,晴,18℃～5℃,西北风转南风 4-5级转4-5级
2019-03-16,晴,22℃～5℃,西风转东北风 4-5级转4-5级
2019-03-17,晴转多云,18℃～8℃,东南风转南风 3-4级转3-4级
2019-03-18,阴转多云,19℃～8℃,西南风转南风 5-6级转5-6级
2019-03-19,多云转中雨,21℃～12℃,西南风转东南风 3-4级
2019-03-20,阴转多云,13℃～9℃,东北风转北风 3-4级转3-4级
2019-03-21,晴,13℃～2℃,东北风 4-5级转4-5级
2019-03-22,多云,13℃～3℃,南风 3-4级
2019-03-23,晴转多云,15℃～2℃,北风转南风 3-4级
2019-03-24,多云,16℃～6℃,西南风 4-5级转4-5级
2019-03-25,多云转晴,20℃～7℃,西风转西南风 4-5级转4-5级
2019-03-26,多云转晴,23℃～11℃,西南风 4-5级转4-5级
2019-03-27,多云,25℃～7℃,西南风转东北风 3-4级转3-4级
2019-03-28,阴转阵雨,13℃～6℃,东风 3-4级转3-4级
2019-03-29,多云转阴,12℃～6℃,东南风转北风 3-4级
2019-03-30,多云转晴,13℃～2℃,西北风 4-5级转4-5级
2019-03-31,晴,16℃～4℃,西风转西南风 4-5级转4-5级
2019-04-01,晴转多云,21℃～6℃,南风转东北风 3-4级
2019-04-02,多云,15℃～6℃,东风转东北风 3-4级
2019-04-03,晴,18℃～6℃,西南风转南风 3-4级
2019-04-04,多云,20℃～9℃,西南风 3-4级
2019-04-05,多云,24℃～13℃,南风转西南风 3-4级
2019-04-06,多云转阴,27℃～11℃,西风转东北风 3-4级转3-4级
2019-04-07,多云,17℃～9℃,东风 4-5级转4-5级
2019-04-08,阴转小雨,18℃～7℃,东风 4-5级
2019-04-09,阴,6℃～5℃,东北风转北风 5-6级转5-6级
2019-04-10,多云,15℃～7℃,东北风转南风 3-4级转3-4级
2019-04-11,阴转多云,16℃～6℃,南风转北风 <3级
2019-04-12,多云,18℃～8℃,南风 <3级
2019-04-13,多云转雷阵雨,20℃～11℃,西南风转南风 3-4级转3-4级
2019-04-14,晴,20℃～6℃,东北风转南风 4-5级转4-5级
2019-04-15,多云,21℃～12℃,西南风转南风 4-5级转4-5级
2019-04-16,雷阵雨转多云,19℃～10℃,南风 <3级
2019-04-17,多云转晴,23℃～15℃,南风 3-4级转3-4级
2019-04-18,多云,27℃～12℃,东北风 4-5级
2019-04-19,多云,19℃～10℃,东北风转东风 3-4级
2019-04-20,多云转小雨,22℃～14℃,东风 3-4级
2019-04-21,阴转多云,18℃～13℃,东北风转东风 3-4级转3-4级
2019-04-22,阴转小雨,19℃～14℃,东风 3-4级转3-4级
2019-04-23,阴,21℃～14℃,东北风转东风 3-4级转3-4级
2019-04-24,阴转雷阵雨,19℃～12℃,南风转东风 <3级转<3级
2019-04-25,阴转小雨,13℃～8℃,东北风 4-5级转4-5级
2019-04-26,阴转多云,16℃～5℃,东北风转东风 4-5级转4-5级
2019-04-27,阴转小雨,15℃～9℃,东风 3-4级
2019-04-28,阴转小雨,14℃～10℃,东北风转东风 3-4级转3-4级
2019-04-29,阴转多云,17℃～9℃,东南风转南风 3-4级转3-4级
2019-04-30,多云,24℃～12℃,南风转北风 <3级
2019-05-01,晴,25℃～12℃,东北风转北风 3-4级转3-4级
2019-05-02,晴,27℃～13℃,西南风转南风 3-4级转3-4级
2019-05-03,晴,26℃～15℃,南风 3-4级
2019-05-04,阴,26℃～16℃,南风 3-4级
2019-05-05,多云,26℃～13℃,东北风 4-5级转4-5级
2019-05-06,多云,21℃～9℃,东风转西风 3-4级
2019-05-07,阴转多云,23℃～14℃,西南风转南风 3-4级
2019-05-08,阴转多云,21℃～12℃,南风 3-4级
2019-05-09,多云,26℃～13℃,西风转南风 3-4级转3-4级
2019-05-10,多云,27℃～15℃,南风 <3级
2019-05-11,多云,28℃～17℃,西南风转南风 3-4级转3-4级
2019-05-12,多云转雷阵雨,30℃～15℃,西南风转北风 3-4级
2019-05-13,扬沙转多云,21℃～11℃,东北风转南风 3-4级转3-4级
2019-05-14,晴转多云,26℃～18℃,南风 3-4级转3-4级
2019-05-15,多云转晴,25℃～16℃,东风 3-4级
2019-05-16,多云,24℃～18℃,东风 3-4级
2019-05-17,阴,20℃～17℃,东风 3-4级
2019-05-18,多云转阴,22℃～15℃,东风转北风 3-4级
2019-05-19,晴转多云,27℃～15℃,西风转北风 3-4级
2019-05-20,晴,25℃～13℃,西风 4-5级转4-5级
2019-05-21,晴,30℃～15℃,西南风 4-5级转4-5级
2019-05-22,晴,34℃～19℃,西风转西南风 4-5级转4-5级
2019-05-23,晴,37℃～22℃,西风转西南风 4-5级转4-5级
2019-05-24,阴转雷阵雨,34℃～22℃,南风转东南风 3-4级
2019-05-25,阴转阵雨,30℃～21℃,南风转东南风 3-4级转3-4级
2019-05-26,阴转雷阵雨,24℃～19℃,东风转南风 3-4级
2019-05-27,阴转多云,23℃～16℃,东北风转北风 4-5级转4-5级
2019-05-28,阴转晴,28℃～16℃,西南风转西风 3-4级转3-4级
2019-05-29,晴转多云,30℃～19℃,西南风转南风 3-4级转3-4级
2019-05-30,阴转多云,21℃～15℃,西南风转南风 3-4级转3-4级
2019-05-31,多云,31℃～19℃,北风转南风 3-4级转3-4级
2019-06-01,阴转多云,29℃～18℃,西南风转南风 3-4级
2019-06-02,晴转多云,32℃～22℃,西南风转南风 3-4级
2019-06-03,多云,35℃～22℃,西南风转南风 4-5级转4-5级
2019-06-04,多云,36℃～24℃,南风 3-4级
2019-06-05,多云转雷阵雨,32℃～20℃,东风 4-5级转4-5级
2019-06-06,阴转多云,22℃～17℃,东北风转北风 4-5级转4-5级
2019-06-07,晴转多云,29℃～19℃,西南风转南风 3-4级
2019-06-08,阴转多云,30℃～20℃,东北风转南风 4-5级转4-5级
2019-06-09,多云,31℃～17℃,东北风转北风 3-4级转3-4级
2019-06-10,晴,28℃～18℃,东北风转南风 3-4级转3-4级
2019-06-11,晴,31℃～18℃,东风转东南风 3-4级转3-4级
2019-06-12,多云转晴,30℃～19℃,南风转东南风 <3级转<3级
2019-06-13,阴转多云,27℃～19℃,东南风转南风 3-4级转3-4级
2019-06-14,小雨转多云,31℃～21℃,西风转南风 3-4级转3-4级
2019-06-15,阴转多云,31℃～21℃,东风转东南风 3-4级
2019-06-16,阴转多云,29℃～22℃,东南风转东风 3-4级转3-4级
2019-06-17,阴转多云,32℃～21℃,东南风转南风 3-4级转3-4级
2019-06-18,多云,31℃～22℃,东南风 3-4级转3-4级
2019-06-19,阴转多云,32℃～23℃,东南风 <3级
2019-06-20,阴转多云,30℃～22℃,西南风转南风 3-4级转3-4级
2019-06-21,多云,31℃～22℃,东风 3-4级转3-4级
2019-06-22,多云转晴,32℃～19℃,东风转东北风 4-5级转4-5级
2019-06-23,晴,32℃～20℃,东北风转东南风 3-4级转3-4级
2019-06-24,多云,31℃～21℃,东南风 3-4级
2019-06-25,雨转阴,31℃～18℃,东风转东南风 <3级
2019-06-26,阴转多云,29℃～20℃,北风转南风 <3级
2019-06-27,阴,33℃～18℃,东南风转东风 3-4级转3-4级
2019-06-28,小雨转阵雨,26℃～23℃,南风转东南风 <3级
2019-06-29,多云,31℃～23℃,西南风转南风 3-4级转3-4级
2019-06-30,大雨转多云,33℃～22℃,西南风转北风 4-5级转4-5级
2019-07-01,晴,33℃～21℃,东北风转北风 3-4级转3-4级
2019-07-02,晴转多云,33℃～22℃,南风 3-4级转3-4级
2019-07-03,多云转晴,34℃～24℃,西南风转南风 3-4级转3-4级
2019-07-04,阴转多云,32℃～23℃,西南风转南风 3-4级转3-4级
2019-07-05,多云,34℃～23℃,南风 3-4级
2019-07-06,暴雨转雷阵雨,25℃～20℃,东风转南风 5-6级转5-6级
2019-07-07,中雨转多云,25℃～20℃,东北风 3-4级
2019-07-08,阴转阵雨,27℃～20℃,东北风 3-4级转3-4级
2019-07-09,阴转雷阵雨,27℃～20℃,东南风转东风 <3级
2019-07-10,小雨转阴,26℃～20℃,西北风转东南风 3-4级转3-4级
2019-07-11,雷阵雨转阴,28℃～22℃,南风 <3级
2019-07-12,阴转多云,29℃～21℃,北风转南风 <3级
2019-07-13,多云,31℃～22℃,西北风转南风 3-4级转3-4级
2019-07-14,多云转阴,30℃～23℃,东风转南风 3-4级转3-4级
2019-07-15,多云,32℃～23℃,西风转东南风 3-4级转3-4级
2019-07-16,阴,30℃～23℃,东北风转东风 <3级转<3级
2019-07-17,小雨转多云,26℃～22℃,东风 3-4级转3-4级
2019-07-18,晴转阵雨,29℃～24℃,东北风转东风 3-4级
2019-07-19,小雨转多云,28℃～23℃,东风 3-4级转3-4级
2019-07-20,多云,33℃～26℃,西北风转北风 3-4级转3-4级
2019-07-21,晴转多云,34℃～26℃,南风转东南风 3-4级转3-4级
2019-07-22,多云,34℃～26℃,东南风 3-4级转3-4级
2019-07-23,多云转小到中雨,35℃～26℃,南风 3-4级转3-4级
2019-07-24,阴转雷阵雨,35℃～26℃,东南风转西南风 <3级转<3级
2019-07-25,阴转多云,35℃～26℃,南风 3-4级转3-4级
2019-07-26,多云,35℃～26℃,东北风转南风 <3级
2019-07-27,小雨转中雨,29℃～25℃,东南风转南风 3-4级
2019-07-28,阴转雷阵雨,33℃～26℃,南风 3-4级
2019-07-29,中雨转阴,32℃～27℃,西南风转南风 4-5级转4-5级
2019-07-30,阴转雷阵雨,31℃～25℃,西风转南风 3-4级转3-4级
2019-07-31,多云转中雨,33℃～25℃,西南风转南风 3-4级转3-4级
2019-08-01,中雨转雷阵雨,25℃～25℃,东北风转东风 3-4级
2019-08-02,小雨转雷阵雨,27℃～24℃,东北风转东南风 3-4级
2019-08-03,阴转多云,32℃～24℃,东南风 3-4级
2019-08-04,多云转中雨,30℃～24℃,东风转东南风 3-4级
2019-08-05,中雨转雷阵雨,29℃～24℃,北风转东风 3-4级转3-4级
2019-08-06,中雨转雷阵雨,27℃～24℃,西风转东风 3-4级
2019-08-07,小雨转雷阵雨,27℃～24℃,东风 <3级
2019-08-08,阴转多云,31℃～25℃,东南风转东风 3-4级转3-4级
2019-08-09,多云转雷阵雨,31℃～24℃,东风 3-4级
2019-08-10,暴雨,26℃～23℃,北风转东北风 3-4级转3-4级
2019-08-11,中雨转小到中雨,26℃～23℃,西北风 4-5级转4-5级
2019-08-12,小雨转阵雨,23℃～22℃,西风转西南风 4-5级
2019-08-13,阴转多云,28℃～22℃,西风转西北风 4-5级转4-5级
2019-08-14,阴转多云,26℃～22℃,东北风转北风 <3级
2019-08-15,多云,31℃～21℃,西北风转南风 3-4级
2019-08-16,晴转多云,32℃～20℃,南风转北风 3-4级转3-4级
2019-08-17,晴,30℃～19℃,西北风转北风 3-4级
2019-08-18,晴,30℃～20℃,北风转东风 3-4级转3-4级
2019-08-19,多云转晴,30℃～19℃,东南风 3-4级转3-4级
2019-08-20,阴转多云,29℃～20℃,东南风 3-4级转3-4级
2019-08-21,阴转多云,28℃～21℃,北风 3-4级转3-4级
2019-08-22,多云,30℃～21℃,东北风转北风 3-4级转3-4级
2019-08-23,多云,30℃～21℃,东风转北风 3-4级转3-4级
2019-08-24,多云,29℃～22℃,北风转东风 3-4级转3-4级
2019-08-25,多云,29℃～22℃,东南风转东风 3-4级
2019-08-26,阴转雷阵雨,26℃～23℃,东北风转北风 3-4级
2019-08-27,阴,27℃～21℃,北风转西风 <3级
2019-08-28,多云转晴,33℃～20℃,西南风 3-4级转3-4级
2019-08-29,晴,30℃～18℃,北风 3-4级转3-4级
2019-08-30,晴,31℃～19℃,北风 3-4级转3-4级
2019-08-31,阴转多云,29℃～20℃,东北风转东南风 3-4级转3-4级
2019-09-01,多云,29℃～20℃,东风转北风 3-4级转3-4级
2019-09-02,雨转多云,27℃～17℃,东风转东北风 <3级
2019-09-03,多云转阴,25℃～19℃,东北风 3-4级转3-4级
2019-09-04,多云,28℃～19℃,北风 3-4级转3-4级
2019-09-05,多云,30℃～19℃,东风 3-4级转3-4级
2019-09-06,多云,30℃～20℃,东北风转北风 3-4级
2019-09-07,晴,31℃～20℃,西北风转北风 3-4级转3-4级
2019-09-08,晴,32℃～21℃,东南风转东风 <3级
2019-09-09,晴,30℃～21℃,东风转北风 3-4级转3-4级
2019-09-10,多云,30℃～22℃,东北风转北风 3-4级
2019-09-11,阴转多云,27℃～20℃,东北风转北风 3-4级
2019-09-12,阴转多云,25℃～18℃,东北风转南风 3-4级转3-4级
2019-09-13,多云转小雨,30℃～22℃,西风转北风 3-4级
2019-09-14,多云,29℃～20℃,东北风 3-4级
2019-09-15,阴转多云,27℃～20℃,北风 <3级
2019-09-16,多云,28℃～19℃,西北风转北风 3-4级
2019-09-17,阴转多云,25℃～17℃,东北风转北风 3-4级转3-4级
2019-09-18,晴,26℃～13℃,东风转东北风 4-5级转4-5级
2019-09-19,阴转多云,24℃～17℃,东北风转北风 3-4级转3-4级
2019-09-20,阴转多云,26℃～17℃,东南风转北风 <3级
2019-09-21,多云转晴,27℃～18℃,东北风转北风 3-4级
2019-09-22,晴,27℃～14℃,东北风转北风 4-5级转4-5级
2019-09-23,晴,28℃～15℃,西北风转北风 3-4级转3-4级
2019-09-24,多云转晴,31℃～18℃,西南风转北风 3-4级转3-4级
2019-09-25,阴转多云,29℃～15℃,东北风转东南风 3-4级转3-4级
2019-09-26,多云,27℃～16℃,东南风 <3级
2019-09-27,多云转晴,28℃～17℃,东南风转南风 <3级
2019-09-28,晴,29℃～17℃,西风转南风 <3级
2019-09-29,晴,30℃～17℃,东南风 3-4级转3-4级
2019-09-30,多云转晴,28℃～16℃,南风转东风 3-4级转3-4级
2019-10-01,阴转多云,28℃～19℃,东南风转东北风 3-4级
2019-10-02,阴转多云,28℃～16℃,东北风转北风 3-4级转3-4级
2019-10-03,晴转多云,30℃～17℃,东南风转东北风 <3级转<3级
2019-10-04,阴转小雨,23℃～14℃,东北风转北风 4-5级
2019-10-05,阴转多云,19℃～10℃,东北风转北风 4-5级转4-5级
2019-10-06,阴转小雨,16℃～11℃,东北风转北风 3-4级转3-4级
2019-10-07,转多云,℃～9℃,转西风 转
2019-10-08,晴转多云,21℃～11℃,东北风转南风 3-4级转3-4级
2019-10-09,多云转小雨,21℃～16℃,西南风转南风 3-4级转3-4级
2019-10-10,小雨转阴,16℃～14℃,北风 <3级
2019-10-11,小雨,17℃～15℃,东北风 3-4级
2019-10-12,阴转多云,20℃～14℃,东北风 3-4级
2019-10-13,阴转多云,22℃～12℃,东北风 3-4级转3-4级
2019-10-14,多云转晴,16℃～6℃,东北风 4-5级转4-5级
2019-10-15,晴转多云,16℃～7℃,东北风转北风 3-4级转3-4级
2019-10-16,阴,14℃～10℃,北风 <3级
2019-10-17,阴转多云,17℃～8℃,北风 <3级
2019-10-18,多云转晴,21℃～8℃,西风转北风 3-4级转3-4级
2019-10-19,多云转晴,22℃～10℃,西风转南风 3-4级转3-4级
2019-10-20,多云,23℃～13℃,西南风转南风 3-4级转3-4级
2019-10-21,阴转多云,23℃～14℃,东北风转北风 <3级
2019-10-22,阴转多云,21℃～15℃,东北风转西风 3-4级转3-4级
2019-10-23,多云,22℃～11℃,东北风转北风 3-4级转3-4级
2019-10-24,多云转阴,23℃～11℃,西风转南风 3-4级转3-4级
2019-10-25,阴转多云,16℃～5℃,东北风转北风 3-4级转3-4级
2019-10-26,阴转晴,15℃～6℃,西南风 3-4级
2019-10-27,阴转多云,19℃～9℃,西南风 3-4级
2019-10-28,阴转晴,21℃～3℃,西南风转北风 3-4级转3-4级
2019-10-29,晴转多云,19℃～5℃,北风转南风 <3级
2019-10-30,晴,22℃～9℃,西南风转南风 3-4级
2019-10-31,晴,25℃～11℃,南风转北风 <3级
2019-11-01,多云,22℃～13℃,北风转东风 3-4级转3-4级
2019-11-02,阴转多云,21℃～10℃,西南风转东风 <3级
2019-11-03,晴转多云,20℃～10℃,北风 3-4级
2019-11-04,多云转晴,18℃～6℃,东北风 3-4级转3-4级
2019-11-05,晴,19℃～7℃,东风转北风 <3级
2019-11-06,阴转多云,19℃～10℃,北风转南风 3-4级转3-4级
2019-11-07,晴,15℃～6℃,东北风转北风 3-4级
2019-11-08,多云转晴,16℃～7℃,西风转南风 3-4级转3-4级
2019-11-09,多云转小雨,18℃～11℃,西南风 3-4级转3-4级
2019-11-10,晴,17℃～6℃,西风转西北风 5-6级转5-6级
2019-11-11,晴转多云,20℃～10℃,东北风转东南风 3-4级转3-4级
2019-11-12,多云转小雨,21℃～12℃,西南风 3-4级
2019-11-13,阴转晴,17℃～1℃,西北风转北风 4-5级转4-5级
2019-11-14,晴,16℃～5℃,西南风 3-4级
2019-11-15,晴,19℃～7℃,南风转东北风 <3级
2019-11-16,晴转小雨,21℃～11℃,北风转东北风 3-4级
2019-11-17,阴转小雨,16℃～2℃,北风转西北风 3-4级转3-4级
2019-11-18,多云转晴,7℃～-2℃,西北风转北风 3-4级转3-4级
2019-11-19,晴,11℃～0℃,南风 <3级
2019-11-20,晴转多云,13℃～7℃,西南风转东风 3-4级转3-4级
2019-11-21,阴转多云,13℃～7℃,东南风转东风 3-4级转3-4级
2019-11-22,晴转多云,17℃～12℃,东南风 3-4级转3-4级
2019-11-23,雾转小雨,16℃～11℃,东风转北风 <3级转<3级
2019-11-24,阴,13℃～1℃,东北风转北风 5-6级转5-6级
2019-11-25,多云,4℃～-3℃,东北风转北风 3-4级转3-4级
2019-11-26,多云转阴,7℃～3℃,北风 3-4级
2019-11-27,多云转晴,7℃～0℃,北风 4-5级转4-5级
2019-11-28,晴转多云,6℃～-2℃,北风 <3级
2019-11-29,多云转阴,7℃～1℃,东风转东北风 <3级
2019-11-30,小雨,7℃～4℃,北风 <3级
2019-12-01,小雨转多云,8℃～-3℃,北风 3-4级
2019-12-02,晴,6℃～-3℃,北风转西风 <3级
2019-12-03,晴,9℃～-3℃,西风 <3级
2019-12-04,多云转晴,12℃～-1℃,西南风转北风 3-4级转3-4级
2019-12-05,多云转晴,5℃～-4℃,东北风 3-4级
2019-12-06,晴,4℃～-3℃,东北风转西南风 3-4级转3-4级
2019-12-07,多云转晴,7℃～-1℃,东北风转南风 3-4级转3-4级
2019-12-08,雾转多云,10℃～1℃,西南风 3-4级转3-4级
2019-12-09,多云转晴,13℃～1℃,西南风转南风 3-4级转3-4级
2019-12-10,多云转晴,15℃～-1℃,西南风转北风 3-4级转3-4级
2019-12-11,晴,11℃～-4℃,西风转北风 3-4级转3-4级
2019-12-12,晴转多云,8℃～1℃,东北风转南风 3-4级转3-4级
2019-12-13,阴转晴,9℃～1℃,西南风转北风 <3级
2019-12-14,阴转多云,7℃～2℃,东北风转东风 3-4级转3-4级
2019-12-15,小雨,9℃～5℃,东北风转东风 3-4级
2019-12-16,雾转小雨,10℃～4℃,东北风转西北风 3-4级转3-4级
2019-12-17,多云,7℃～0℃,东北风转北风 4-5级转4-5级
2019-12-18,多云,5℃～-2℃,东北风转北风 3-4级转3-4级
2019-12-19,多云转晴,6℃～-3℃,西风转东北风 3-4级转3-4级
2019-12-20,阴转多云,5℃～-1℃,北风转南风 3-4级转3-4级
2019-12-21,雾转阴,7℃～4℃,东北风转南风 <3级
2019-12-22,雾转多云,8℃～0℃,西南风转东北风 3-4级
2019-12-23,阴转多云,5℃～-1℃,东北风 3-4级转3-4级
2019-12-24,多云转小雨,6℃～4℃,北风转南风 3-4级转3-4级
2019-12-25,雾转雨夹雪,4℃～0℃,东北风转北风 3-4级
2019-12-26,阴转晴,5℃～-5℃,西北风转西南风 3-4级转3-4级
2019-12-27,多云转晴,6℃～-1℃,西南风转南风 3-4级转3-4级
2019-12-28,多云转小雨,10℃～4℃,西南风转南风 3-4级转3-4级
2019-12-29,多云,11℃～2℃,西南风转北风 <3级转<3级
2019-12-30,阴转晴,4℃～-6℃,东北风转北风 4-5级转4-5级
2019-12-31,晴转多云,0℃～-5℃,西风转南风 <3级
